name,room_numbers,address,price,usable_area,gross_floor_area,url,latitude,longitude
The Wings・The Wings・Tower 2,High Floor・FLAT D・2 Rooms,Tseung Kwan O,9.1M,536ft²,693ft²,https://hk.centanet.com/findproperty/en/detail/The-Wings-The-Wings-Tower-2_SZS580?theme=buy,22.3089111,114.2635572
Indi Home,Middle Floor・FLAT 22・2 Rooms,Tsuen Wan West,5.88M,435ft²,608ft²,https://hk.centanet.com/findproperty/en/detail/Indi-Home_CNB464?theme=buy,22.3684317,114.109705
DOUBLE COVE・PHASE 1・BLOCK 3,Middle Floor・FLAT C・3 Rooms・(1 Suite),Wu Kai Sha,11.5M,809ft²,"1,054ft²",https://hk.centanet.com/findproperty/en/detail/DOUBLE-COVE-PHASE-1-BLOCK-3_EMI672?theme=buy,,
LUK YEUNG SUN CHUEN・BLOCK F,FLAT 5・3 Rooms,Luk Yeung,6.8M,582ft²,671ft²,https://hk.centanet.com/findproperty/en/detail/LUK-YEUNG-SUN-CHUEN-BLOCK-F_CLN382?theme=buy,,
THE AURORA・TOWER 2,FLAT H・2 Rooms,Tsuen Wan West,8.5M,465ft²,,https://hk.centanet.com/findproperty/en/detail/THE-AURORA-TOWER-2_CYW377?theme=buy,22.3684317,114.109705
LUK YEUNG SUN CHUEN・BLOCK S,FLAT 6・2 Rooms,Luk Yeung,5.8M,445ft²,519ft²,https://hk.centanet.com/findproperty/en/detail/LUK-YEUNG-SUN-CHUEN-BLOCK-S_CMF475?theme=buy,,
LOHAS PARK・PHASE 7B GRAND MONTARA・TOWER 1 (1B),Low Floor・FLAT C・2 Rooms,Lohas Park,6.6M,464ft²,,https://hk.centanet.com/findproperty/en/detail/LOHAS-PARK-PHASE-7B-GRAND-MONTARA-TOWER-1-(1B)_UHK855?theme=buy,22.2944817,114.2702546
RESIDENCE BEL-AIR,HOUSE 20・5 Rooms,Residence Bel-air,280M,"4,190ft²","6,311ft²",https://hk.centanet.com/findproperty/en/detail/RESIDENCE-BEL-AIR_TLC143?theme=buy,22.2545454,114.1326852
OCEAN PRIDE・PHASE 3・TOWER 8,Low Floor・FLAT C・1 Room,Tsuen Wan West,7M,369ft²,,https://hk.centanet.com/findproperty/en/detail/OCEAN-PRIDE-PHASE-3-TOWER-8_CYQ456?theme=buy,22.3684317,114.109705
Lohas Park・Phase 9A Marini・Tower 3 (3A),High Floor・FLAT F・2 Rooms,Lohas Park,6.8M,467ft²,,https://hk.centanet.com/findproperty/en/detail/Lohas-Park-Phase-9A-Marini-Tower-3-(3A)_UHL037?theme=buy,22.2944817,114.2702546
Victoria Skye・Ocean Waves Tower 1,Low Floor・FLAT E・3 Rooms,Kai Tak New Area,12.5M,661ft²,,https://hk.centanet.com/findproperty/en/detail/Victoria-Skye-Ocean-Waves-Tower-1_UGD266?theme=buy,22.3246084,114.1990482
DISCOVERY PARK・Phase 3・BLOCK 10,Middle Floor・FLAT E・3 Rooms・(1 Suite),Discovery Park,7M,581ft²,723ft²,https://hk.centanet.com/findproperty/en/detail/DISCOVERY-PARK-Phase-3-BLOCK-10_CLT871?theme=buy,47.6613197,-122.4171413
K. CITY・TOWER 9,FLAT B・2 Rooms,Kai Tak New Area,8.6M,447ft²,,https://hk.centanet.com/findproperty/en/detail/K--CITY-TOWER-9_UGC109?theme=buy,22.3246084,114.1990482
DISCOVERY PARK・PHASE 2・BLOCK 8,Middle Floor・FLAT E・3 Rooms,Discovery Park,7.98M,645ft²,805ft²,https://hk.centanet.com/findproperty/en/detail/DISCOVERY-PARK-PHASE-2-BLOCK-8_CLM607?theme=buy,47.6613197,-122.4171413
Star Crest・TOWER 2,FLAT A・3 Rooms・(1 Suite),Wan Chai,25M,918ft²,,https://hk.centanet.com/findproperty/en/detail/Star-Crest-TOWER-2_TCK155?theme=buy,22.276022,114.1751471
Hong Lok Yuen,4 Rooms,Hong Lok Yuen,42M,"2,579ft²",,https://hk.centanet.com/findproperty/en/detail/Hong-Lok-Yuen_AAD662?theme=buy,22.4636115,114.1546972
The Leighton Hill・TOWER 3,Low Floor・4 Rooms・(1 Suite),Happy Valley,59.8M,"1,461ft²",,https://hk.centanet.com/findproperty/en/detail/The-Leighton-Hill-TOWER-3_TAS188?theme=buy,,
Grand Yoho,High Floor・FLAT B・3 Rooms,Yuen Long Station,10M,632ft²,,https://hk.centanet.com/findproperty/en/detail/Grand-Yoho_CVX609?theme=buy,22.4460876,114.0347702
DRAGONS RANGE・COURT C TOWER 1,Middle Floor・FLAT A・3 Rooms,Kau To Shan,12.28M,963ft²,,https://hk.centanet.com/findproperty/en/detail/DRAGONS-RANGE-COURT-C-TOWER-1_ASU019?theme=buy,22.4166667,114.1833333
WHAMPOA GARDEN・Phase 11 Bauhinia Mansions・BLOCK 3,High Floor・FLAT A・2 Rooms,Whampoa,7M,470ft²,551ft²,https://hk.centanet.com/findproperty/en/detail/WHAMPOA-GARDEN-Phase-11-Bauhinia-Mansions-BLOCK-3_SGX450?theme=buy,1.3245132,103.8572252
The Leighton Hill,3 Rooms・(1 Suite),Happy Valley,73M,"1,461ft²",,https://hk.centanet.com/findproperty/en/detail/The-Leighton-Hill_TAU205?theme=buy,,
Glamour Garden・HOUSE 10,FLAT F・3 Rooms,Fanling,9.6M,"1,082ft²","1,206ft²",https://hk.centanet.com/findproperty/en/detail/Glamour-Garden-HOUSE-10_EOB423?theme=buy,22.4916829,114.1414685
FLORA GARDEN・BLOCK 2,3 Rooms,Tai Hang Mid-Levels,19.38M,"1,011ft²","1,302ft²",https://hk.centanet.com/findproperty/en/detail/FLORA-GARDEN-BLOCK-2_TAL403?theme=buy,22.2816223,114.147865
Parc Palais・Tower 8,FLAT D・3 Rooms,King's Park,15M,829ft²,,https://hk.centanet.com/findproperty/en/detail/Parc-Palais-Tower-8_MGD773?theme=buy,22.3095048,114.1751471
TIN HEUNG GARDEN HOUSE,FLAT D・3 Rooms,Kwun Tong,3.88M,520ft²,,https://hk.centanet.com/findproperty/en/detail/TIN-HEUNG-GARDEN-HOUSE_UCG999?theme=buy,22.3103686,114.2227035
Beverly Villa・Block 10,High Floor・FLAT C・3 Rooms,Kowloon Tong,16.5M,"1,211ft²",,https://hk.centanet.com/findproperty/en/detail/Beverly-Villa-Block-10_MCE706?theme=buy,22.3369319,114.1763367
THE REACH・TOWER 13,2 Rooms,Yuen Long Southeast,4.4M,423ft²,575ft²,https://hk.centanet.com/findproperty/en/detail/THE-REACH-TOWER-13_CVC137?theme=buy,22.4445376,114.0222076
BELVEDERE GARDEN・PHASE 1・BLOCK 1,Low Floor・FLAT G・2 Rooms,Belvedere,4.2M,481ft²,592ft²,https://hk.centanet.com/findproperty/en/detail/BELVEDERE-GARDEN-PHASE-1-BLOCK-1_CAO848?theme=buy,,
Grand Excelsior,Middle Floor・FLAT A・2 Rooms,Ho Man Tin,15.5M,663ft²,928ft²,https://hk.centanet.com/findproperty/en/detail/Grand-Excelsior_MGF079?theme=buy,22.318507,114.1755339
YUCCIE SQUARE・TOWER 2,2 Rooms,Long Ping,6M,429ft²,,https://hk.centanet.com/findproperty/en/detail/YUCCIE-SQUARE-TOWER-2_CVS861?theme=buy,,
Park Horizon,Middle Floor・FLAT B・3 Rooms,Ho Man Tin,10.38M,771ft²,981ft²,https://hk.centanet.com/findproperty/en/detail/Park-Horizon_MMF492?theme=buy,22.318507,114.1755339
MONTEGO BAY・TOWER 5,FLAT G・2 Rooms,Yau Tong,7.28M,450ft²,,https://hk.centanet.com/findproperty/en/detail/MONTEGO-BAY-TOWER-5_DUG412?theme=buy,22.2940736,114.2375638
ROYAL ASCOT・PHASE 2・BLOCK 9,FLAT F・3 Rooms・(1 Suite),Fo Tan,13.8M,974ft²,"1,127ft²",https://hk.centanet.com/findproperty/en/detail/ROYAL-ASCOT-PHASE-2-BLOCK-9_AKA210?theme=buy,22.3985709,114.1929428
KINGSWOOD VILLAS・Phase 5 Lynwood Court・BLOCK 10,High Floor・FLAT E・4 Rooms・(1 Suite),Tin Shui Wai,9.99M,"1,002ft²",,https://hk.centanet.com/findproperty/en/detail/KINGSWOOD-VILLAS-Phase-5-Lynwood-Court-BLOCK-10_CJU707?theme=buy,22.4606419,114.0041996
Ocean Pride・Phase 3A Ocean Supreme・Tower 5B,Low Floor・FLAT D・2 Rooms,Tsuen Wan West,10.8M,534ft²,,https://hk.centanet.com/findproperty/en/detail/Ocean-Pride-Phase-3A-Ocean-Supreme-Tower-5B_CYO541?theme=buy,22.3684317,114.109705
Laguna City・Phase 1・Block 15,Low Floor・FLAT D・3 Rooms,Lam Tin,7M,687ft²,857ft²,https://hk.centanet.com/findproperty/en/detail/Laguna-City-Phase-1-Block-15_SPL493?theme=buy,22.3080199,114.2375638
Tseung Kwan O Plaza・Phase 1・Tower 2,Middle Floor・FLAT A・2 Rooms,Tseung Kwan O,6.3M,429ft²,590ft²,https://hk.centanet.com/findproperty/en/detail/Tseung-Kwan-O-Plaza-Phase-1-Tower-2_SAH725?theme=buy,22.3089111,114.2635572
PARC OASIS・TOWER 11 (11 PARC OASIS RD),High Floor・FLAT C・2 Rooms・(1 Suite),Yau Yat Tsuen,10.5M,591ft²,741ft²,https://hk.centanet.com/findproperty/en/detail/PARC-OASIS-TOWER-11-(11-PARC-OASIS-RD)_MKB589?theme=buy,22.3312462,114.1744039
KINGSWOOD VILLAS・PHASE 2 SHERWOOD COURT,Low Floor・FLAT F・2 Rooms,Tin Shui Wai,4.08M,449ft²,576ft²,https://hk.centanet.com/findproperty/en/detail/KINGSWOOD-VILLAS-PHASE-2-SHERWOOD-COURT_CJP433?theme=buy,22.4606419,114.0041996
MOUNT PAVILIA,Middle Floor・4 Rooms・(2 Suites),Clear Water Bay,24.8M,"1,836ft²",,https://hk.centanet.com/findproperty/en/detail/MOUNT-PAVILIA_MTG010?theme=buy,22.2851406,114.2940282
VILLA CARLTON・BLOCK 3,Middle Floor・FLAT B・3 Rooms・(1 Suite),Lung Ping,14M,"1,293ft²","1,680ft²",https://hk.centanet.com/findproperty/en/detail/VILLA-CARLTON-BLOCK-3_MEA041?theme=buy,,
Beaconsfield Court,FLAT H・3 Rooms,Shouson Hill,44.9M,"1,350ft²","1,650ft²",https://hk.centanet.com/findproperty/en/detail/Beaconsfield-Court_TEC415?theme=buy,22.2471845,114.1810919
Costa Bello,4 Rooms,Sai Kung Town Centre,25.8M,"1,598ft²","2,341ft²",https://hk.centanet.com/findproperty/en/detail/Costa-Bello_MSU171?theme=buy,22.383689,114.2707867
Telford Gardens・Block O,Low Floor・FLAT 5・2 Rooms,Kowloon Bay,4.65M,443ft²,547ft²,https://hk.centanet.com/findproperty/en/detail/Telford-Gardens-Block-O_SRE015?theme=buy,22.3080749,114.2018982
Parkside Villa・Block 2,3 Rooms,Yuen Long Town Centre,6.05M,851ft²,"1,000ft²",https://hk.centanet.com/findproperty/en/detail/Parkside-Villa-Block-2_COA867?theme=buy,22.4445376,114.0222076
Villa Royale,3 Rooms,Pak Sha Wan,13.8M,"1,234ft²","2,000ft²",https://hk.centanet.com/findproperty/en/detail/Villa-Royale_MTA467?theme=buy,22.366785,114.259238
THE REACH・TOWER 13,2 Rooms,Yuen Long Southeast,4.9M,440ft²,598ft²,https://hk.centanet.com/findproperty/en/detail/THE-REACH-TOWER-13_CVC043?theme=buy,22.4445376,114.0222076
Winner Court・BLOCK 2,Low Floor・FLAT D,Sai Ying Pun,13.8M,946ft²,"1,236ft²",https://hk.centanet.com/findproperty/en/detail/Winner-Court-BLOCK-2_LIO931?theme=buy,22.2875634,114.1417059
Residence Bel-Air・Phase 4  Bel-Air On The Peak・Tower 3,Low Floor・FLAT B・4 Rooms,Residence Bel-air,82M,"1,985ft²","2,557ft²",https://hk.centanet.com/findproperty/en/detail/Residence-Bel-Air-Phase-4--Bel-Air-On-The-Peak-Tower-3_TJN681?theme=buy,22.2545454,114.1326852
DISCOVERY PARK・PHASE 2・BLOCK 6,Low Floor・FLAT C・2 Rooms,Discovery Park,5.98M,485ft²,610ft²,https://hk.centanet.com/findproperty/en/detail/DISCOVERY-PARK-PHASE-2-BLOCK-6_CLW913?theme=buy,47.6613197,-122.4171413
Belair Villa,BLOCK 32・5 Rooms,Fanling,17.5M,"2,133ft²","3,117ft²",https://hk.centanet.com/findproperty/en/detail/Belair-Villa_ENR565?theme=buy,22.4916829,114.1414685
NAM SHAN,House・4 Rooms・(3 Suites),Tai Mong Tsai,17.8M,"1,750ft²",,https://hk.centanet.com/findproperty/en/detail/NAM-SHAN_MTJ047?theme=buy,22.393774,114.300469
HONG LOK YUEN,5 Rooms,Hong Lok Yuen,28.8M,"1,628ft²","2,300ft²",https://hk.centanet.com/findproperty/en/detail/HONG-LOK-YUEN_AAD306?theme=buy,22.4636115,114.1546972
Greenknoll Court・BLOCK 2,Middle Floor・FLAT A・2 Rooms,Sheung Kwai Chung ,4.7M,465ft²,573ft²,https://hk.centanet.com/findproperty/en/detail/Greenknoll-Court-BLOCK-2_FAK625?theme=buy,22.3681637,114.1277691
Monte Vista・Block 2,Low Floor・FLAT C・3 Rooms,Wu Kai Sha,8.28M,816ft²,"1,049ft²",https://hk.centanet.com/findproperty/en/detail/Monte-Vista-Block-2_EEX053?theme=buy,,
THE PAVILIA FARM・PHASE 2・TOWER 7 (7B),Low Floor・FLAT B・2 Rooms,Tai Wai,11.8M,617ft²,,https://hk.centanet.com/findproperty/en/detail/THE-PAVILIA-FARM-PHASE-2-TOWER-7-(7B)_AUT023?theme=buy,22.375941,114.178626
FESTIVAL CITY・Phase 2・TOWER 1,Low Floor・FLAT SD・3 Rooms,Tai Wai,9.38M,686ft²,911ft²,https://hk.centanet.com/findproperty/en/detail/FESTIVAL-CITY-Phase-2-TOWER-1_ASE569?theme=buy,22.375941,114.178626
