name,room_numbers,address,price,usable_area,gross_floor_area,url
DRAGONS RANGE・COURT A TOWER 1,High Floor・FLAT F・2 Rooms,Kau To Shan,"20,000",681ft²,N/A,https://hk.centanet.com/findproperty/en/detail/DRAGONS-RANGE-COURT-A-TOWER-1_AST957?theme=rent
Lohas Park・PHASE 6 LP6,Low Floor・FLAT J・1 Room,Lohas Park,"15,500",307ft²,N/A,https://hk.centanet.com/findproperty/en/detail/Lohas-Park-PHASE-6-LP6_UHI760?theme=rent
CENTURY GATEWAY・Phase 1・TOWER 1,Middle Floor・FLAT A・3 Rooms・(1 Suite),Tuen Mun Town Centre,"23,000",718ft²,923ft²,https://hk.centanet.com/findproperty/en/detail/CENTURY-GATEWAY-Phase-1-TOWER-1_CWA141?theme=rent
CENTURY GATEWAY・PHASE 2・TOWER 8,FLAT G・1 Room,Tuen Mun Town Centre,"13,500",379ft²,N/A,https://hk.centanet.com/findproperty/en/detail/CENTURY-GATEWAY-PHASE-2-TOWER-8_CWJ314?theme=rent
Chelsea Heights・Phase 2・Block 6,2 Rooms,Tuen Mun North,"14,500",525ft²,680ft²,https://hk.centanet.com/findproperty/en/detail/Chelsea-Heights-Phase-2-Block-6_CET419?theme=rent
Tuen Mun Town Plaza・PHASE 1・Block 3,Low Floor・FLAT K・2 Rooms,Tuen Mun Town Centre,"10,500",393ft²,549ft²,https://hk.centanet.com/findproperty/en/detail/Tuen-Mun-Town-Plaza-PHASE-1-Block-3_CEN663?theme=rent
Parkland Villas,2 Rooms,Siu Hong,"14,000",381ft²,555ft²,https://hk.centanet.com/findproperty/en/detail/Parkland-Villas_CGQ960?theme=rent
Nan Fung Plaza・Tower 5,Low Floor・FLAT E・2 Rooms,Hang Hau,"18,000",454ft²,N/A,https://hk.centanet.com/findproperty/en/detail/Nan-Fung-Plaza-Tower-5_SBO044?theme=rent
SERENO VERDE・PHASE 5 REACH SUMMIT,Low Floor・FLAT M・1 Room,Yuen Long Southeast,"11,000",282ft²,N/A,https://hk.centanet.com/findproperty/en/detail/SERENO-VERDE-PHASE-5-REACH-SUMMIT_GAD877?theme=rent
DISCOVERY PARK・PHASE 1・BLOCK 3,2 Rooms,Discovery Park,"16,800",495ft²,610ft²,https://hk.centanet.com/findproperty/en/detail/DISCOVERY-PARK-PHASE-1-BLOCK-3_CMK927?theme=rent
Novo Land・Phase 1A・Elverum Tower 1,Studio,Siu Hong,"10,000",236ft²,N/A,https://hk.centanet.com/findproperty/en/detail/Novo-Land-Phase-1A-Elverum-Tower-1_CZH208?theme=rent
Parkland Villas・Block 1,3 Rooms,Siu Hong,"18,000",499ft²,715ft²,https://hk.centanet.com/findproperty/en/detail/Parkland-Villas-Block-1_CGI434?theme=rent
THE PAVILIA BAY・TOWER 1B,Middle Floor・FLAT A・2 Rooms,Tsuen Wan West,"25,000",535ft²,N/A,https://hk.centanet.com/findproperty/en/detail/THE-PAVILIA-BAY-TOWER-1B_CYN342?theme=rent
TSUEN KING GARDEN・PHASE 2・BLOCK 11,Middle Floor・FLAT B・2 Rooms,Tsuen King Circuit,"14,500",431ft²,511ft²,https://hk.centanet.com/findproperty/en/detail/TSUEN-KING-GARDEN-PHASE-2-BLOCK-11_CLO210?theme=rent
PARK ISLAND・Phase 5 Oceancrest・TOWER 30,Low Floor・FLAT F・2 Rooms,Ma Wan,"17,800",574ft²,736ft²,https://hk.centanet.com/findproperty/en/detail/PARK-ISLAND-Phase-5-Oceancrest-TOWER-30_FEF332?theme=rent
TSUEN WAN CENTRE・BLOCK 18 (TSINAN HOUSE),Middle Floor・FLAT F・2 Rooms,Tsuen King Circuit,"11,800",329ft²,404ft²,https://hk.centanet.com/findproperty/en/detail/TSUEN-WAN-CENTRE-BLOCK-18-(TSINAN-HOUSE)_CMI902?theme=rent
UPTOWN PLAZA,2 Rooms,Tai Po Town Centre,"16,500",489ft²,599ft²,https://hk.centanet.com/findproperty/en/detail/UPTOWN-PLAZA_AMF343?theme=rent
CENTRA HORIZON,3 Rooms,Pak Shek Kok,"40,000","1,041ft²",N/A,https://hk.centanet.com/findproperty/en/detail/CENTRA-HORIZON_AUL576?theme=rent
NOVO LAND・Phase 1A・ELVERUM TOWER 1,High Floor・2 Rooms,Siu Hong,"15,000",424ft²,N/A,https://hk.centanet.com/findproperty/en/detail/NOVO-LAND-Phase-1A-ELVERUM-TOWER-1_CZG586?theme=rent
MANOR HILL・TOWER 1,FLAT B6・Studio,Lohas Park,"13,800",215ft²,N/A,https://hk.centanet.com/findproperty/en/detail/MANOR-HILL-TOWER-1_UHR308?theme=rent
RESIDENCE BEL-AIR,House・4 Rooms・(3 Suites),Residence Bel-air,"280,000","3,308ft²","4,719ft²",https://hk.centanet.com/findproperty/en/detail/RESIDENCE-BEL-AIR_TLA336?theme=rent
THE METRO CITY・PHASE 1・TOWER 5,High Floor・FLAT E・3 Rooms,Po Lam,"25,000",698ft²,906ft²,https://hk.centanet.com/findproperty/en/detail/THE-METRO-CITY-PHASE-1-TOWER-5_SAW751?theme=rent
THE PAVILIA FARM・Phase 2・TOWER 7 (7B),High Floor・2 Rooms,Tai Wai,"33,000",617ft²,N/A,https://hk.centanet.com/findproperty/en/detail/THE-PAVILIA-FARM-Phase-2-TOWER-7-(7B)_AUT666?theme=rent
NEW KWAI FONG GARDENS・BLOCK E,Low Floor・FLAT 8・2 Rooms,Ha Kwai Chung,"15,800",418ft²,510ft²,https://hk.centanet.com/findproperty/en/detail/NEW-KWAI-FONG-GARDENS-BLOCK-E_FAK198?theme=rent
REGENCY BAY,2 Rooms,Tuen Mun South,"16,500",450ft²,N/A,https://hk.centanet.com/findproperty/en/detail/REGENCY-BAY_CZF843?theme=rent
NOVO LAND・Phase 1A・ELVERUM TOWER 2,High Floor・FLAT J・1 Room,Siu Hong,"12,800",309ft²,N/A,https://hk.centanet.com/findproperty/en/detail/NOVO-LAND-Phase-1A-ELVERUM-TOWER-2_CZG403?theme=rent
Caribbean Coast,HOUSE 16・4 Rooms,Tung Chung Town Centre,"60,000","2,400ft²","3,277ft²",https://hk.centanet.com/findproperty/en/detail/Caribbean-Coast_FGI085?theme=rent
CITY ONE SHATIN・SITE 5・BLOCK 51,1 Room,City One Shatin,"13,500",284ft²,395ft²,https://hk.centanet.com/findproperty/en/detail/CITY-ONE-SHATIN-SITE-5-BLOCK-51_EBQ093?theme=rent
THE VIM,FLAT B・1 Room,Cheung Sha Wan,"15,800",289ft²,N/A,https://hk.centanet.com/findproperty/en/detail/THE-VIM_MXW372?theme=rent
QUEEN'S TERRACE・TOWER 1,FLAT C・Studio,Sheung Wan,"18,000",322ft²,468ft²,https://hk.centanet.com/findproperty/en/detail/QUEEN'S-TERRACE-TOWER-1_LAI691?theme=rent
BAGUIO VILLA・BLOCK 27,High Floor・FLAT A・4 Rooms,Pok Fu Lam,"82,000","1,012ft²","1,153ft²",https://hk.centanet.com/findproperty/en/detail/BAGUIO-VILLA-BLOCK-27_TJL776?theme=rent
NOVO LAND・Phase 1A・ELVERUM TOWER 2,Low Floor・FLAT G・2 Rooms,Siu Hong,"14,800",436ft²,N/A,https://hk.centanet.com/findproperty/en/detail/NOVO-LAND-Phase-1A-ELVERUM-TOWER-2_CZG579?theme=rent
GRAND YOHO・Phase 1・TOWER 10,Low Floor・FLAT B・3 Rooms・(1 Suite),Yuen Long Station,"28,000",778ft²,N/A,https://hk.centanet.com/findproperty/en/detail/GRAND-YOHO-Phase-1-TOWER-10_CVX241?theme=rent
IMPERIAL CULLINAN・TOWER 2,FLAT C・3 Rooms・(1 Suite),Olympic Station,"40,000",885ft²,"1,123ft²",https://hk.centanet.com/findproperty/en/detail/IMPERIAL-CULLINAN-TOWER-2_UAC081?theme=rent
The Pavilia Farm・PHASE 2・Tower 5 (5B),Low Floor・FLAT D・2 Rooms,Tai Wai,"27,000",521ft²,N/A,https://hk.centanet.com/findproperty/en/detail/The-Pavilia-Farm-PHASE-2-Tower-5-(5B)_AUT539?theme=rent
CITY ONE SHATIN・SITE 4・BLOCK 37,2 Rooms,City One Shatin,"14,000",284ft²,395ft²,https://hk.centanet.com/findproperty/en/detail/CITY-ONE-SHATIN-SITE-4-BLOCK-37_EBH913?theme=rent
DOUBLE COVE・PHASE 2 DOUBLE COVE STARVIEW・BLOCK 20,1 Room,Wu Kai Sha,"23,800",568ft²,N/A,https://hk.centanet.com/findproperty/en/detail/DOUBLE-COVE-PHASE-2-DOUBLE-COVE-STARVIEW-BLOCK-20_EMP086?theme=rent
SILICON HILL・PHASE 2A UNIVERSITY HILL・MARINA TOWER 2,High Floor・FLAT A3・2 Rooms,Pak Shek Kok,"19,000",402ft²,N/A,https://hk.centanet.com/findproperty/en/detail/SILICON-HILL-PHASE-2A-UNIVERSITY-HILL-MARINA-TOWER-2_GCB911?theme=rent
THE SEA CREST・TOWER 1,FLAT G・2 Rooms,Tuen Mun South,"12,000",463ft²,668ft²,https://hk.centanet.com/findproperty/en/detail/THE-SEA-CREST-TOWER-1_CEM091?theme=rent
COO RESIDENCE,Low Floor・FLAT B・Studio,Tuen Mun Town Centre,"10,500",222ft²,N/A,https://hk.centanet.com/findproperty/en/detail/COO-RESIDENCE_CZC670?theme=rent
GRAND YOHO・PHASE 1・TOWER 10,3 Rooms,Yuen Long Station,"25,500",702ft²,N/A,https://hk.centanet.com/findproperty/en/detail/GRAND-YOHO-PHASE-1-TOWER-10_CVX383?theme=rent
New Kwai Fong Gardens・Block D,High Floor・FLAT 3・2 Rooms,Ha Kwai Chung,"16,000",408ft²,519ft²,https://hk.centanet.com/findproperty/en/detail/New-Kwai-Fong-Gardens-Block-D_FAG472?theme=rent
THE ASTRO,Middle Floor・FLAT C・2 Rooms,Cheung Sha Wan,"18,500",311ft²,N/A,https://hk.centanet.com/findproperty/en/detail/THE-ASTRO_MXI748?theme=rent
Cullinan West・PHASE 2A・Tower 2B,Middle Floor・FLAT F・1 Room,Nam Cheong Station,"22,000",357ft²,N/A,https://hk.centanet.com/findproperty/en/detail/Cullinan-West-PHASE-2A-Tower-2B_MXB620?theme=rent
CONVENTION PLAZA APARTMENTS,FLAT 10・2 Rooms,Wan Chai,"46,000",990ft²,N/A,https://hk.centanet.com/findproperty/en/detail/CONVENTION-PLAZA-APARTMENTS_TGH961?theme=rent
GOLDEN LION GARDEN・PHASE 1・GOLDEN HEALTHY COURT (BLOCK A),Middle Floor・FLAT 3・2 Rooms,Tai Wai,"12,500",285ft²,492ft²,https://hk.centanet.com/findproperty/en/detail/GOLDEN-LION-GARDEN-PHASE-1-GOLDEN-HEALTHY-COURT-(BLOCK-A)_EBE895?theme=rent
CARIBBEAN COAST・PHASE 2 ALBANY COVE・TOWER 6,Middle Floor・FLAT G・3 Rooms・(1 Suite),Tung Chung Town Centre,"22,800",736ft²,"1,000ft²",https://hk.centanet.com/findproperty/en/detail/CARIBBEAN-COAST-PHASE-2-ALBANY-COVE-TOWER-6_FGB621?theme=rent
ONTOLO・TOWER 7A,3 Rooms,Pak Shek Kok,"46,000","1,232ft²",N/A,https://hk.centanet.com/findproperty/en/detail/ONTOLO-TOWER-7A_AUO006?theme=rent
Mount Regency,2 Rooms,Tuen Mun San Hui,"15,000",441ft²,N/A,https://hk.centanet.com/findproperty/en/detail/Mount-Regency_CZE126?theme=rent
FAIRVIEW PARK,House・3 Rooms,Palm Springs | Fairview,"23,000",848ft²,N/A,https://hk.centanet.com/findproperty/en/detail/FAIRVIEW-PARK_EHB645?theme=rent
Sol City・TOWER 2,Middle Floor・2 Rooms,Long Ping,"16,380",532ft²,N/A,https://hk.centanet.com/findproperty/en/detail/Sol-City-TOWER-2_GAC274?theme=rent
MEI FOO SUN CHUEN・PHASE 4・93-95 BROADWAY,High Floor・FLAT B NO. 93・1 Room,Mei Foo,"26,000",716ft²,N/A,https://hk.centanet.com/findproperty/en/detail/MEI-FOO-SUN-CHUEN-PHASE-4-93-95-BROADWAY_MOD888?theme=rent
PRINCE'S TERRACE,3 Rooms,Mid-Levels West,"18,000",503ft²,N/A,https://hk.centanet.com/findproperty/en/detail/PRINCE'S-TERRACE_LCG028?theme=rent
Grand Promenade・Tower 1,High Floor・FLAT D・3 Rooms,Sai Wan Ho,"26,000",504ft²,690ft²,https://hk.centanet.com/findproperty/en/detail/Grand-Promenade-Tower-1_ZAB375?theme=rent
VISTA,FLAT B・2 Rooms,Cheung Sha Wan,"26,300",716ft²,978ft²,https://hk.centanet.com/findproperty/en/detail/VISTA_MPP151?theme=rent
SAU LAI GARDEN,FLAT A・3 Rooms・(1 Suite),Kowloon Tong,"43,000","1,558ft²",N/A,https://hk.centanet.com/findproperty/en/detail/SAU-LAI-GARDEN_MCB003?theme=rent
ALTO RESIDENCES・TOWER 7,High Floor・FLAT A・2 Rooms・(1 Suite),Tseung Kwan O,"25,000",618ft²,N/A,https://hk.centanet.com/findproperty/en/detail/ALTO-RESIDENCES-TOWER-7_UEZ832?theme=rent
MEI FOO SUN CHUEN・PHASE 4・93-95 BROADWAY,2 Rooms,Mei Foo,"25,300",716ft²,N/A,https://hk.centanet.com/findproperty/en/detail/MEI-FOO-SUN-CHUEN-PHASE-4-93-95-BROADWAY_MOF414?theme=rent
The Reach,High Floor・FLAT E・2 Rooms,Yuen Long Southeast,"11,000",356ft²,493ft²,https://hk.centanet.com/findproperty/en/detail/The-Reach_CVC219?theme=rent
GRANVILLE GARDEN・TOWER 1,FLAT A・4 Rooms,Tai Wai,"27,000",861ft²,"1,118ft²",https://hk.centanet.com/findproperty/en/detail/GRANVILLE-GARDEN-TOWER-1_ECQ492?theme=rent
Park Yoho・Phase 1A・Tower 10A,Middle Floor・FLAT B・3 Rooms,Kam Tin,"19,800",640ft²,N/A,https://hk.centanet.com/findproperty/en/detail/Park-Yoho-Phase-1A-Tower-10A_CVT433?theme=rent
THE METRO CITY・Phase 1・TOWER 5,Low Floor・FLAT B・2 Rooms,Po Lam,"16,500",364ft²,487ft²,https://hk.centanet.com/findproperty/en/detail/THE-METRO-CITY-Phase-1-TOWER-5_SAF219?theme=rent
TAIKOO SHING・HORIZON GARDENS・(T-55)  KAI TIEN MANSION,3 Rooms,Taikoo Shing,"33,000",759ft²,876ft²,https://hk.centanet.com/findproperty/en/detail/TAIKOO-SHING-HORIZON-GARDENS-(T-55)--KAI-TIEN-MANSION_DAW287?theme=rent
SOL CITY・TOWER 3,Low Floor・FLAT J・2 Rooms,Long Ping,"18,000",546ft²,N/A,https://hk.centanet.com/findproperty/en/detail/SOL-CITY-TOWER-3_GAB878?theme=rent
FAIRVIEW PARK,3 Rooms,Palm Springs | Fairview,"26,000",915ft²,"1,300ft²",https://hk.centanet.com/findproperty/en/detail/FAIRVIEW-PARK_EHC302?theme=rent
The Reach・Tower 6,High Floor・FLAT C・2 Rooms,Yuen Long Southeast,"12,500",442ft²,607ft²,https://hk.centanet.com/findproperty/en/detail/The-Reach-Tower-6_CVA795?theme=rent
CHEERFUL PARK・BLOCK 2,2 Rooms,Fanling,"11,800",378ft²,451ft²,https://hk.centanet.com/findproperty/en/detail/CHEERFUL-PARK-BLOCK-2_EOD644?theme=rent
San Francisco Towers・BLOCK B,Middle Floor・3 Rooms・(1 Suite),Happy Valley,"45,000",910ft²,"1,050ft²",https://hk.centanet.com/findproperty/en/detail/San-Francisco-Towers-BLOCK-B_TAG330?theme=rent
FANLING TOWN CENTER・DRAGON COURT (BLOCK 4),3 Rooms,Fanling,"15,800",454ft²,608ft²,https://hk.centanet.com/findproperty/en/detail/FANLING-TOWN-CENTER-DRAGON-COURT-(BLOCK-4)_END015?theme=rent
Twin Regency・TOWER 2,Middle Floor・FLAT F・1 Room,Long Ping,"13,000",385ft²,N/A,https://hk.centanet.com/findproperty/en/detail/Twin-Regency-TOWER-2_CVU348?theme=rent
LEI KING WAN・SITES A・BLOCK 1 KWUN HOI MANSION,2 Rooms,Sai Wan Ho,"23,000",527ft²,616ft²,https://hk.centanet.com/findproperty/en/detail/LEI-KING-WAN-SITES-A-BLOCK-1-KWUN-HOI-MANSION_DIH017?theme=rent
The Reach・TOWER 1,3 Rooms・(1 Suite),Yuen Long Southeast,"17,800",660ft²,900ft²,https://hk.centanet.com/findproperty/en/detail/The-Reach-TOWER-1_CVC276?theme=rent
HILLSBOROUGH COURT・TOWER 1,High Floor・FLAT D・3 Rooms・(1 Suite),Mid-Levels Central,"61,000","1,190ft²","1,385ft²",https://hk.centanet.com/findproperty/en/detail/HILLSBOROUGH-COURT-TOWER-1_TGH136?theme=rent
YOHO TOWN・PHASE 2 YOHO MIDTOWN・BLOCK M1,Middle Floor・FLAT D・3 Rooms・(1 Suite),Yuen Long Station,"31,800",972ft²,"1,251ft²",https://hk.centanet.com/findproperty/en/detail/YOHO-TOWN-PHASE-2-YOHO-MIDTOWN-BLOCK-M1_CQS732?theme=rent
TSING YI GARDEN・BLOCK 5,Low Floor・FLAT B・2 Rooms,Tsing Yi,"14,500",343ft²,432ft²,https://hk.centanet.com/findproperty/en/detail/TSING-YI-GARDEN-BLOCK-5_FCL461?theme=rent
KORNHILL・BLOCK P (FLAT 9 - 16),FLAT 13・3 Rooms,Kornhill,"24,800",616ft²,762ft²,https://hk.centanet.com/findproperty/en/detail/KORNHILL-BLOCK-P-(FLAT-9---16)_DDC405?theme=rent
LAGUNA CITY・PHASE 1・BLOCK 14,Low Floor・FLAT G・2 Rooms,Lam Tin,"16,000",517ft²,639ft²,https://hk.centanet.com/findproperty/en/detail/LAGUNA-CITY-PHASE-1-BLOCK-14_SPH500?theme=rent
DISCOVERY BAY,2 Rooms,Discovery Bay,"18,000",588ft²,713ft²,https://hk.centanet.com/findproperty/en/detail/DISCOVERY-BAY_LFE229?theme=rent
H CUBE,High Floor・FLAT 2・1 Room,Tsuen Wan West,"15,000",293ft²,445ft²,https://hk.centanet.com/findproperty/en/detail/H-CUBE_CRJ920?theme=rent
THE HORIZON・COURT C TOWER 2,Middle Floor・FLAT C・3 Rooms,Pak Shek Kok,"32,000","1,067ft²",N/A,https://hk.centanet.com/findproperty/en/detail/THE-HORIZON-COURT-C-TOWER-2_AUI550?theme=rent
Park Signature・Tower 9,2 Rooms,Shap Pat Heung,"13,000",512ft²,N/A,https://hk.centanet.com/findproperty/en/detail/Park-Signature-Tower-9_CVP470?theme=rent
CHI FUNG COURT,Studio,Cheung Sha Wan,"9,000",146ft²,224ft²,https://hk.centanet.com/findproperty/en/detail/CHI-FUNG-COURT_MNI703?theme=rent
DYNASTY HEIGHTS・TROPICANA・TROPICANA 6 (BLOCK 21),Middle Floor・FLAT D・2 Rooms,Lung Ping,"23,000",605ft²,803ft²,https://hk.centanet.com/findproperty/en/detail/DYNASTY-HEIGHTS-TROPICANA-TROPICANA-6-(BLOCK-21)_MAB604?theme=rent
Villa By The Park・Block 1,High Floor・FLAT C・2 Rooms,Yuen Long Town Centre,"13,500",434ft²,569ft²,https://hk.centanet.com/findproperty/en/detail/Villa-By-The-Park-Block-1_COK816?theme=rent
SOLARIA・,House・1 Room,Pak Shek Kok,"16,000",352ft²,N/A,https://hk.centanet.com/findproperty/en/detail/SOLARIA-_AUC071?theme=rent
THE WINGS・THE WINGS・TOWER 1,Middle Floor・FLAT B・3 Rooms,Tseung Kwan O,"35,000",870ft²,"1,123ft²",https://hk.centanet.com/findproperty/en/detail/THE-WINGS-THE-WINGS-TOWER-1_SZS996?theme=rent
MONTI,1 Room,Sai Wan Ho,"20,000",385ft²,N/A,https://hk.centanet.com/findproperty/en/detail/MONTI_ZAM855?theme=rent
DISCOVERY BAY・PH 1-PARKRIDGE VILLAGE,Middle Floor・1 Room,Discovery Bay,"13,000",440ft²,530ft²,https://hk.centanet.com/findproperty/en/detail/DISCOVERY-BAY-PH-1-PARKRIDGE-VILLAGE_LFE490?theme=rent
AFTER THE RAIN,2 Rooms,Long Ping,"18,000",475ft²,N/A,https://hk.centanet.com/findproperty/en/detail/AFTER-THE-RAIN_GAM239?theme=rent
TAI HANG TERRACE,Middle Floor・2 Rooms,Tai Hang Mid-Levels,"31,500",567ft²,N/A,https://hk.centanet.com/findproperty/en/detail/TAI-HANG-TERRACE_TAM516?theme=rent
SUNSHINE CITY・Phase 4・BLOCK H,Middle Floor・FLAT 5・3 Rooms,Ma On Shan,"22,500",551ft²,749ft²,https://hk.centanet.com/findproperty/en/detail/SUNSHINE-CITY-Phase-4-BLOCK-H_EEI195?theme=rent
Tai Hing Gardens,2 Rooms,Tuen Mun North,"12,000",447ft²,583ft²,https://hk.centanet.com/findproperty/en/detail/Tai-Hing-Gardens_CEA286?theme=rent
FLORA PLAZA・BLOCK 2,Middle Floor・FLAT F・2 Rooms,Fanling,"12,000",413ft²,550ft²,https://hk.centanet.com/findproperty/en/detail/FLORA-PLAZA-BLOCK-2_EOK778?theme=rent
KINGSWOOD VILLAS・PHASE 1 LOCWOOD COURT・BLOCK 12,3 Rooms,Tin Shui Wai,"13,000",549ft²,714ft²,https://hk.centanet.com/findproperty/en/detail/KINGSWOOD-VILLAS-PHASE-1-LOCWOOD-COURT-BLOCK-12_CJQ080?theme=rent
SOL CITY・TOWER 2,Middle Floor・FLAT D・2 Rooms,Long Ping,"18,000",484ft²,N/A,https://hk.centanet.com/findproperty/en/detail/SOL-CITY-TOWER-2_GAC202?theme=rent
FANLING CENTRE・Phase 1・BLOCK C,High Floor・FLAT 2・3 Rooms,Fanling,"16,000",535ft²,685ft²,https://hk.centanet.com/findproperty/en/detail/FANLING-CENTRE-Phase-1-BLOCK-C_EOO118?theme=rent
Island Resort・Tower 9,Low Floor・FLAT F・2 Rooms,Siu Sai Wan,"21,000",506ft²,733ft²,https://hk.centanet.com/findproperty/en/detail/Island-Resort-Tower-9_DJI854?theme=rent
CAINE HILL,Studio,Mid-Levels West,"18,000",197ft²,N/A,https://hk.centanet.com/findproperty/en/detail/CAINE-HILL_LJF037?theme=rent
FANLING TOWN CENTER・BRILLIANT COURT (BLOCK 2),2 Rooms,Fanling,"12,500",399ft²,533ft²,https://hk.centanet.com/findproperty/en/detail/FANLING-TOWN-CENTER-BRILLIANT-COURT-(BLOCK-2)_ENV186?theme=rent
Lohas Park・PHASE 9A MARINI・Tower 3 (3B),Middle Floor・FLAT A・3 Rooms,Lohas Park,"30,000",771ft²,N/A,https://hk.centanet.com/findproperty/en/detail/Lohas-Park-PHASE-9A-MARINI-Tower-3-(3B)_UHL333?theme=rent
Regentville・Phase 1・Block 5,Middle Floor・FLAT E・2 Rooms,Fanling,"13,000",419ft²,598ft²,https://hk.centanet.com/findproperty/en/detail/Regentville-Phase-1-Block-5_ENA585?theme=rent
SUNSHINE CITY・PHASE 5 THE TOLO PLACE・BLOCK 3,2 Rooms,Ma On Shan,"19,000",465ft²,586ft²,https://hk.centanet.com/findproperty/en/detail/SUNSHINE-CITY-PHASE-5-THE-TOLO-PLACE-BLOCK-3_EEM676?theme=rent
Choi Po Court・Choi Pik House (Block C),High Floor・FLAT 9・Studio,Sheung Shui,"11,500",363ft²,483ft²,https://hk.centanet.com/findproperty/en/detail/Choi-Po-Court-Choi-Pik-House-(Block-C)_ENR047?theme=rent
Twin Regency・Tower 1,2 Rooms,Long Ping,"13,800",433ft²,N/A,https://hk.centanet.com/findproperty/en/detail/Twin-Regency-Tower-1_CVU525?theme=rent
Villa Premiere,2 Rooms,Yuen Long Southeast,"14,500",531ft²,670ft²,https://hk.centanet.com/findproperty/en/detail/Villa-Premiere_COS314?theme=rent
DISCOVERY BAY・Phase 13 Chianti,High Floor・3 Rooms・(1 Suite),Discovery Bay,"30,000",892ft²,"1,160ft²",https://hk.centanet.com/findproperty/en/detail/DISCOVERY-BAY-Phase-13-Chianti_LGA408?theme=rent
Tung Fat Building,Low Floor・FLAT E・3 Rooms,Yuen Long Town Centre,"12,800",527ft²,N/A,https://hk.centanet.com/findproperty/en/detail/Tung-Fat-Building_CQE328?theme=rent
Lok Sing Centre・BLOCK B,Low Floor・FLAT 8・1 Room,Causeway Bay,"21,000",343ft²,403ft²,https://hk.centanet.com/findproperty/en/detail/Lok-Sing-Centre-BLOCK-B_TDH562?theme=rent
THE PAVILIA HILL・TOWER 3,High Floor・FLAT C・2 Rooms・(1 Suite),North Point Mid-Levels,"42,000",717ft²,N/A,https://hk.centanet.com/findproperty/en/detail/THE-PAVILIA-HILL-TOWER-3_DNL969?theme=rent
AREZZO,Low Floor・FLAT B・2 Rooms,Mid-Levels West,"58,000",970ft²,N/A,https://hk.centanet.com/findproperty/en/detail/AREZZO_LIT084?theme=rent
SHUNG LING BUILDING・BLOCK B,Low Floor・FLAT B8,San Po Kong,"13,800",316ft²,N/A,https://hk.centanet.com/findproperty/en/detail/SHUNG-LING-BUILDING-BLOCK-B_SKA417?theme=rent
EMERALD GREEN・BLOCK 2,Low Floor・FLAT D・2 Rooms,Yuen Long Town Centre,"13,500",526ft²,686ft²,https://hk.centanet.com/findproperty/en/detail/EMERALD-GREEN-BLOCK-2_CQT454?theme=rent
AFTER THE RAIN,2 Rooms,Long Ping,"17,000",454ft²,N/A,https://hk.centanet.com/findproperty/en/detail/AFTER-THE-RAIN_GAM051?theme=rent
DISCOVERY BAY,High Floor・3 Rooms・(1 Suite),Discovery Bay,"20,000",755ft²,889ft²,https://hk.centanet.com/findproperty/en/detail/DISCOVERY-BAY_LFG025?theme=rent
SHEUNG SHUI CENTRE,2 Rooms,Sheung Shui,"12,500",330ft²,446ft²,https://hk.centanet.com/findproperty/en/detail/SHEUNG-SHUI-CENTRE_EOG538?theme=rent
